sensor1,sensor2,time_x,speedSet,load_value,gear_fault_desc
2.521001056191252,2.427539449722352,2023-05-02 14:35:14.000000,8.33203125,0,surface defect
2.519851263115703,2.428196472302813,2023-05-02 14:35:14.000200,8.33203125,0,surface defect
2.5200155192666083,2.426225404604137,2023-05-02 14:35:14.000400,8.33203125,0,surface defect
2.5200155192666083,2.428689239247504,2023-05-02 14:35:14.000600,8.33203125,0,surface defect
2.5211653123485616,2.427046682796349,2023-05-02 14:35:14.000800,8.33203125,0,surface defect
2.521001056191252,2.428689239247504,2023-05-02 14:35:14.001000,8.33203125,0,surface defect
2.5191942385212323,2.428360727950153,2023-05-02 14:35:14.001200,8.33203125,0,surface defect
2.5178801893761924,2.43328839778442,2023-05-02 14:35:14.001400,8.33203125,0,surface defect
2.5211653123485616,2.425896893333479,2023-05-02 14:35:14.001600,8.33203125,0,surface defect
2.5187014700849835,2.428360727950153,2023-05-02 14:35:14.001800,8.33203125,0,surface defect
2.5211653123485616,2.427539449722352,2023-05-02 14:35:14.002000,8.33203125,0,surface defect
2.5170589086902595,2.4301675401296463,2023-05-02 14:35:14.002200,8.33203125,0,surface defect
2.5177159332371777,2.4288534948975142,2023-05-02 14:35:14.002400,8.33203125,0,surface defect
2.5190299823749016,2.4293462618528863,2023-05-02 14:35:14.002600,8.33203125,0,surface defect
2.5205082877248124,2.4277037053661323,2023-05-02 14:35:14.002800,8.33203125,0,surface defect
2.5177159332371777,2.428524983598383,2023-05-02 14:35:14.003000,8.33203125,0,surface defect
2.5193584946684777,2.4291820062002056,2023-05-02 14:35:14.003200,8.33203125,0,surface defect
2.5203440315711623,2.430496051446584,2023-05-02 14:35:14.003400,8.33203125,0,surface defect
2.524286179511397,2.425568382066378,2023-05-02 14:35:14.003600,8.33203125,0,surface defect
2.513609530058828,2.4341096761680934,2023-05-02 14:35:14.003800,8.33203125,0,surface defect
2.5219865931488417,2.428689239247504,2023-05-02 14:35:14.004000,8.33203125,0,surface defect
2.525928741308858,2.422776036439601,2023-05-02 14:35:14.004200,8.33203125,0,surface defect
2.516401884157968,2.433452653459372,2023-05-02 14:35:14.004400,8.33203125,0,surface defect
2.521329568506787,2.425732637699484,2023-05-02 14:35:14.004600,8.33203125,0,surface defect
2.5185372139413964,2.4254041264341613,2023-05-02 14:35:14.004800,8.33203125,0,surface defect
2.5193584946684777,2.4290177505484145,2023-05-02 14:35:14.005000,8.33203125,0,surface defect
2.521658080825983,2.4263896602408006,2023-05-02 14:35:14.005200,8.33203125,0,surface defect
2.5196870069657136,2.424911359542847,2023-05-02 14:35:14.005400,8.33203125,0,surface defect
2.518372957798724,2.427867961010803,2023-05-02 14:35:14.005600,8.33203125,0,surface defect
2.519851263115703,2.4295105175064573,2023-05-02 14:35:14.005800,8.33203125,0,surface defect
2.5200155192666083,2.4291820062002056,2023-05-02 14:35:14.006000,8.33203125,0,surface defect
2.520179775418428,2.4314815854187715,2023-05-02 14:35:14.006200,8.33203125,0,surface defect
2.5219865931488417,2.4301675401296463,2023-05-02 14:35:14.006400,8.33203125,0,surface defect
2.5211653123485616,2.4277037053661323,2023-05-02 14:35:14.006600,8.33203125,0,surface defect
2.5200155192666083,2.4306603071063884,2023-05-02 14:35:14.006800,8.33203125,0,surface defect
2.521329568506787,2.426882427156128,2023-05-02 14:35:14.007000,8.33203125,0,surface defect
2.5191942385212323,2.424254337033541,2023-05-02 14:35:14.007200,8.33203125,0,surface defect
2.5196870069657136,2.426882427156128,2023-05-02 14:35:14.007400,8.33203125,0,surface defect
2.5196870069657136,2.4293462618528863,2023-05-02 14:35:14.007600,8.33203125,0,surface defect
2.5196870069657136,2.4291820062002056,2023-05-02 14:35:14.007800,8.33203125,0,surface defect
2.5196870069657136,2.427867961010803,2023-05-02 14:35:14.008000,8.33203125,0,surface defect
2.519522750816638,2.429839028816271,2023-05-02 14:35:14.008200,8.33203125,0,surface defect
2.521001056191252,2.4288534948975142,2023-05-02 14:35:14.008400,8.33203125,0,surface defect
2.519522750816638,2.428032216656363,2023-05-02 14:35:14.008600,8.33203125,0,surface defect
2.5187014700849835,2.425896893333479,2023-05-02 14:35:14.008800,8.33203125,0,surface defect
2.5191942385212323,2.427046682796349,2023-05-02 14:35:14.009000,8.33203125,0,surface defect
2.5211653123485616,2.426225404604137,2023-05-02 14:35:14.009200,8.33203125,0,surface defect
2.5214938246659275,2.427375194079461,2023-05-02 14:35:14.009400,8.33203125,0,surface defect
2.5218223369869546,2.4288534948975142,2023-05-02 14:35:14.009600,8.33203125,0,surface defect
2.5203440315711623,2.4290177505484145,2023-05-02 14:35:14.009800,8.33203125,0,surface defect
2.5205082877248124,2.4288534948975142,2023-05-02 14:35:14.010000,8.33203125,0,surface defect
2.5203440315711623,2.427867961010803,2023-05-02 14:35:14.010200,8.33203125,0,surface defect
2.5208368000348567,2.426718171516796,2023-05-02 14:35:14.010400,8.33203125,0,surface defect
2.519522750816638,2.428689239247504,2023-05-02 14:35:14.010600,8.33203125,0,surface defect
