sensor1,sensor2,time_x,speedSet,load_value,gear_fault_desc
2.5200155192666083,2.430496051446584,2023-05-03 13:06:37.000000,8.33203125,0,missing tooth
2.5218223369869546,2.4306603071063884,2023-05-03 13:06:37.000200,8.33203125,0,missing tooth
2.5191942385212323,2.4295105175064573,2023-05-03 13:06:37.000400,8.33203125,0,missing tooth
2.519851263115703,2.4288534948975142,2023-05-03 13:06:37.000600,8.33203125,0,missing tooth
2.5187014700849835,2.4293462618528863,2023-05-03 13:06:37.000800,8.33203125,0,missing tooth
2.519522750816638,2.429839028816271,2023-05-03 13:06:37.001000,8.33203125,0,missing tooth
2.5191942385212323,2.428524983598383,2023-05-03 13:06:37.001200,8.33203125,0,missing tooth
2.51738742096189,2.427375194079461,2023-05-03 13:06:37.001400,8.33203125,0,missing tooth
2.5190299823749016,2.4290177505484145,2023-05-03 13:06:37.001600,8.33203125,0,missing tooth
2.519522750816638,2.429839028816271,2023-05-03 13:06:37.001800,8.33203125,0,missing tooth
2.5203440315711623,2.4272109384374603,2023-05-03 13:06:37.002000,8.33203125,0,missing tooth
2.5190299823749016,2.4295105175064573,2023-05-03 13:06:37.002200,8.33203125,0,missing tooth
2.5187014700849835,2.4301675401296463,2023-05-03 13:06:37.002400,8.33203125,0,missing tooth
2.5178801893761924,2.4311530740911462,2023-05-03 13:06:37.002600,8.33203125,0,missing tooth
2.518044445516121,2.4308245627670835,2023-05-03 13:06:37.002800,8.33203125,0,missing tooth
2.5185372139413964,2.4314815854187715,2023-05-03 13:06:37.003000,8.33203125,0,missing tooth
2.5172231648256176,2.429839028816271,2023-05-03 13:06:37.003200,8.33203125,0,missing tooth
2.5187014700849835,2.43033179578767,2023-05-03 13:06:37.003400,8.33203125,0,missing tooth
2.5167303964222856,2.429839028816271,2023-05-03 13:06:37.003600,8.33203125,0,missing tooth
2.518865726229485,2.429839028816271,2023-05-03 13:06:37.003800,8.33203125,0,missing tooth
2.5177159332371777,2.428196472302813,2023-05-03 13:06:37.004000,8.33203125,0,missing tooth
2.5190299823749016,2.428032216656363,2023-05-03 13:06:37.004200,8.33203125,0,missing tooth
2.5182087016569654,2.430496051446584,2023-05-03 13:06:37.004400,8.33203125,0,missing tooth
2.5196870069657136,2.429839028816271,2023-05-03 13:06:37.004600,8.33203125,0,missing tooth
2.521001056191252,2.4295105175064573,2023-05-03 13:06:37.004800,8.33203125,0,missing tooth
2.519851263115703,2.429674773160919,2023-05-03 13:06:37.005000,8.33203125,0,missing tooth
2.5200155192666083,2.4308245627670835,2023-05-03 13:06:37.005200,8.33203125,0,missing tooth
2.5193584946684777,2.429674773160919,2023-05-03 13:06:37.005400,8.33203125,0,missing tooth
2.5200155192666083,2.4293462618528863,2023-05-03 13:06:37.005600,8.33203125,0,missing tooth
2.5205082877248124,2.4288534948975142,2023-05-03 13:06:37.005800,8.33203125,0,missing tooth
2.520179775418428,2.427539449722352,2023-05-03 13:06:37.006000,8.33203125,0,missing tooth
2.5185372139413964,2.4288534948975142,2023-05-03 13:06:37.006200,8.33203125,0,missing tooth
2.521001056191252,2.427867961010803,2023-05-03 13:06:37.006400,8.33203125,0,missing tooth
2.5175516770990765,2.4277037053661323,2023-05-03 13:06:37.006600,8.33203125,0,missing tooth
2.5182087016569654,2.428689239247504,2023-05-03 13:06:37.006800,8.33203125,0,missing tooth
2.520179775418428,2.4295105175064573,2023-05-03 13:06:37.007000,8.33203125,0,missing tooth
2.5182087016569654,2.429674773160919,2023-05-03 13:06:37.007200,8.33203125,0,missing tooth
2.5211653123485616,2.428524983598383,2023-05-03 13:06:37.007400,8.33203125,0,missing tooth
2.519851263115703,2.430496051446584,2023-05-03 13:06:37.007600,8.33203125,0,missing tooth
2.5185372139413964,2.430988818428669,2023-05-03 13:06:37.007800,8.33203125,0,missing tooth
2.5196870069657136,2.430496051446584,2023-05-03 13:06:37.008000,8.33203125,0,missing tooth
2.520672543879377,2.430496051446584,2023-05-03 13:06:37.008200,8.33203125,0,missing tooth
2.5196870069657136,2.429674773160919,2023-05-03 13:06:37.008400,8.33203125,0,missing tooth
2.5193584946684777,2.427867961010803,2023-05-03 13:06:37.008600,8.33203125,0,missing tooth
2.5182087016569654,2.4293462618528863,2023-05-03 13:06:37.008800,8.33203125,0,missing tooth
2.5187014700849835,2.431317329754514,2023-05-03 13:06:37.009000,8.33203125,0,missing tooth
2.5211653123485616,2.430496051446584,2023-05-03 13:06:37.009200,8.33203125,0,missing tooth
2.5193584946684777,2.431317329754514,2023-05-03 13:06:37.009400,8.33203125,0,missing tooth
2.519522750816638,2.4308245627670835,2023-05-03 13:06:37.009600,8.33203125,0,missing tooth
2.518044445516121,2.429674773160919,2023-05-03 13:06:37.009800,8.33203125,0,missing tooth
2.5193584946684777,2.4300032844725137,2023-05-03 13:06:37.010000,8.33203125,0,missing tooth
2.5203440315711623,2.4300032844725137,2023-05-03 13:06:37.010200,8.33203125,0,missing tooth
2.5211653123485616,2.4295105175064573,2023-05-03 13:06:37.010400,8.33203125,0,missing tooth
2.518865726229485,2.428524983598383,2023-05-03 13:06:37.010600,8.33203125,0,missing tooth
2.5187014700849835,2.4301675401296463,2023-05-03 13:06:37.010800,8.33203125,0,missing tooth
2.521658080825983,2.4306603071063884,2023-05-03 13:06:37.011000,8.33203125,0,missing tooth
2.519522750816638,2.430496051446584,2023-05-03 13:06:37.011200,8.33203125,0,missing tooth
2.5203440315711623,2.4291820062002056,2023-05-03 13:06:37.011400,8.33203125,0,missing tooth
2.518372957798724,2.4301675401296463,2023-05-03 13:06:37.011600,8.33203125,0,missing tooth
2.518865726229485,2.4308245627670835,2023-05-03 13:06:37.011800,8.33203125,0,missing tooth
2.521001056191252,2.4293462618528863,2023-05-03 13:06:37.012000,8.33203125,0,missing tooth
2.5190299823749016,2.4295105175064573,2023-05-03 13:06:37.012200,8.33203125,0,missing tooth
2.5172231648256176,2.429674773160919,2023-05-03 13:06:37.012400,8.33203125,0,missing tooth
2.5190299823749016,2.429674773160919,2023-05-03 13:06:37.012600,8.33203125,0,missing tooth
2.51738742096189,2.429674773160919,2023-05-03 13:06:37.012800,8.33203125,0,missing tooth
2.5190299823749016,2.4300032844725137,2023-05-03 13:06:37.013000,8.33203125,0,missing tooth
2.5191942385212323,2.4306603071063884,2023-05-03 13:06:37.013200,8.33203125,0,missing tooth
2.5182087016569654,2.43033179578767,2023-05-03 13:06:37.013400,8.33203125,0,missing tooth
2.5167303964222856,2.4300032844725137,2023-05-03 13:06:37.013600,8.33203125,0,missing tooth
2.518044445516121,2.432302863753427,2023-05-03 13:06:37.013800,8.33203125,0,missing tooth
2.519851263115703,2.427539449722352,2023-05-03 13:06:37.014000,8.33203125,0,missing tooth
2.5175516770990765,2.428524983598383,2023-05-03 13:06:37.014200,8.33203125,0,missing tooth
2.521329568506787,2.430988818428669,2023-05-03 13:06:37.014400,8.33203125,0,missing tooth
2.520179775418428,2.4308245627670835,2023-05-03 13:06:37.014600,8.33203125,0,missing tooth
2.518044445516121,2.430988818428669,2023-05-03 13:06:37.014800,8.33203125,0,missing tooth
2.5205082877248124,2.4314815854187715,2023-05-03 13:06:37.015000,8.33203125,0,missing tooth
2.518865726229485,2.4308245627670835,2023-05-03 13:06:37.015200,8.33203125,0,missing tooth
