sensor1,sensor2,time_x,speedSet,load_value,gear_fault_desc
2.5193584946684777,2.429674773160919,2023-05-03 14:41:31.000000,8.33203125,0,Root crack
2.5193584946684777,2.429839028816271,2023-05-03 14:41:31.000200,8.33203125,0,Root crack
2.5211653123485616,2.430496051446584,2023-05-03 14:41:31.000400,8.33203125,0,Root crack
2.5205082877248124,2.4288534948975142,2023-05-03 14:41:31.000600,8.33203125,0,Root crack
2.5193584946684777,2.428689239247504,2023-05-03 14:41:31.000800,8.33203125,0,Root crack
2.5208368000348567,2.429839028816271,2023-05-03 14:41:31.001000,8.33203125,0,Root crack
2.520179775418428,2.429674773160919,2023-05-03 14:41:31.001200,8.33203125,0,Root crack
2.522150849311644,2.4293462618528863,2023-05-03 14:41:31.001400,8.33203125,0,Root crack
2.5208368000348567,2.428524983598383,2023-05-03 14:41:31.001600,8.33203125,0,Root crack
2.5203440315711623,2.4290177505484145,2023-05-03 14:41:31.001800,8.33203125,0,Root crack
2.5190299823749016,2.4308245627670835,2023-05-03 14:41:31.002000,8.33203125,0,Root crack
2.5205082877248124,2.4290177505484145,2023-05-03 14:41:31.002200,8.33203125,0,Root crack
2.5211653123485616,2.4295105175064573,2023-05-03 14:41:31.002400,8.33203125,0,Root crack
2.522315105475361,2.428689239247504,2023-05-03 14:41:31.002600,8.33203125,0,Root crack
2.5208368000348567,2.4300032844725137,2023-05-03 14:41:31.002800,8.33203125,0,Root crack
2.5218223369869546,2.4293462618528863,2023-05-03 14:41:31.003000,8.33203125,0,Root crack
2.522643617805543,2.428196472302813,2023-05-03 14:41:31.003200,8.33203125,0,Root crack
2.521329568506787,2.4290177505484145,2023-05-03 14:41:31.003400,8.33203125,0,Root crack
2.522479361639994,2.4295105175064573,2023-05-03 14:41:31.003600,8.33203125,0,Root crack
2.519522750816638,2.4306603071063884,2023-05-03 14:41:31.003800,8.33203125,0,Root crack
2.520672543879377,2.4311530740911462,2023-05-03 14:41:31.004000,8.33203125,0,Root crack
2.5211653123485616,2.429674773160919,2023-05-03 14:41:31.004200,8.33203125,0,Root crack
2.522150849311644,2.431317329754514,2023-05-03 14:41:31.004400,8.33203125,0,Root crack
2.521001056191252,2.4288534948975142,2023-05-03 14:41:31.004600,8.33203125,0,Root crack
2.5205082877248124,2.429839028816271,2023-05-03 14:41:31.004800,8.33203125,0,Root crack
2.5219865931488417,2.4300032844725137,2023-05-03 14:41:31.005000,8.33203125,0,Root crack
2.520179775418428,2.4290177505484145,2023-05-03 14:41:31.005200,8.33203125,0,Root crack
2.521001056191252,2.428524983598383,2023-05-03 14:41:31.005400,8.33203125,0,Root crack
2.519851263115703,2.4300032844725137,2023-05-03 14:41:31.005600,8.33203125,0,Root crack
2.520179775418428,2.432795630764913,2023-05-03 14:41:31.005800,8.33203125,0,Root crack
2.5205082877248124,2.430496051446584,2023-05-03 14:41:31.006000,8.33203125,0,Root crack
2.5203440315711623,2.43033179578767,2023-05-03 14:41:31.006200,8.33203125,0,Root crack
2.521658080825983,2.4295105175064573,2023-05-03 14:41:31.006400,8.33203125,0,Root crack
2.519522750816638,2.430496051446584,2023-05-03 14:41:31.006600,8.33203125,0,Root crack
2.521658080825983,2.430496051446584,2023-05-03 14:41:31.006800,8.33203125,0,Root crack
2.5208368000348567,2.4306603071063884,2023-05-03 14:41:31.007000,8.33203125,0,Root crack
